"arquivo","candidato_titulo_ou_pessoal","texto_extraido","denominacao_verificada","horas_detectadas","horas_coursera","estimativa_horas_coursera","tempo_coursera","urls","url_verificacao","erro_extracao"
"Currículo Lattes.pdf","true","true","","60","","","","https://lattes.cnpq.br/0668835500614017 | https://orcid.org/0009-0009-5238-1881","",""
"dados","false","false","","","","","","","",""
"Declaracao-PNAB_ Diretrizes da Atenção Primária no Brasil.pdf","false","true","","","","","","","",""
"Declaração Oficial Curso 5S Prime Cursos.pdf","false","true","","40","","","","http://primecursos.com.br/confirma/","",""
"Declaração Oficial Curso SGQ Prime.pdf","true","true","","35","","","","http://primecursos.com.br/confirma/","",""
"Declaração Oficial Curso SSTS Prime Cursos.pdf","false","true","","20","","","","http://primecursos.com.br/confirma/","",""
"Declaração Oficial Prime_Certificado Segurança no Trabalho.pdf","false","true","","35","","","","http://primecursos.com.br/confirma/","",""
"desktop.ini","false","false","","","","","","","",""
"Digitizing in Low resources settings - Certificate.pdf","true","true","","","","","","https://coursera.org/verify/N4H6ME6SOEC7","",""
"Diploma - LL.B.pdf","true","true","","","","","","https://www.ufmg.br/drca","",""
"Diploma MPGOS_PEDRO LAMOUNIER SAMPAIO (verso).jpeg","true","false","","","","","","","",""
"DMA General Certification Overview - VA Certificate.pdf","false","true","","","","","","","",""
"Duke-Coursera_Telehealth_Cardiopulmonary Specialization DSEV3OLMXEMK.pdf","false","true","Telehealth: Essentials, Teamwork, and Cardiopulmonary Exam","","12","12","1 meses com 3 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/DSEV3OLMXEMK",""
"Duke-Coursera_Telehealth_Dermatology_Certificate_R2FTYV77JH0A.pdf","false","true","Telehealth: Dermatology Assessment","","2","","","","https://www.coursera.org/account/accomplishments/verify/R2FTYV77JH0A",""
"Duke-Coursera_Telehealth_Dermatology_Specialization Certificate_CG5I6U6HR05R..pdf","false","true","Telehealth: Essentials, Teamwork, and Dermatology","6","12","12","1 meses com 3 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/CG5I6U6HR05R",""
"Duke-Coursera_Telehealth_Musculoskeletal_Exam_Certificate_2J767H2OB448.pdf","false","true","Telehealth: Musculoskeletal Assessment","7","2","","","","https://www.coursera.org/account/accomplishments/verify/2J767H2OB448",""
"Duke-Coursera_Telehealth_Musculoskeletal_Specialization Certificate_ZVA616EKPRVQ.pdf","false","true","Telehealth: Essentials, Teamwork, and Musculoskeletal Exam","","12","12","1 meses com 3 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/ZVA616EKPRVQ",""
"Duke-Coursera_Telehealth_Neurological Exam Course_Certificate_UCSTLLOAX0QZ.pdf","false","true","Telehealth: Neurologic Assessment","","2","","2 horas para completar","","https://www.coursera.org/account/accomplishments/verify/UCSTLLOAX0QZ",""
"Duke-Coursera_Telehealth_Neurology_Certificate_UCSTLLOAX0QZ.pdf","false","true","Telehealth: Essentials, Teamwork, and Neurologic Exam","","12","","4 semanas com 3 por semana para concluir","","https://www.coursera.org/account/accomplishments/verify/UCSTLLOAX0QZ",""
"DUNS Resolved Inquiry # 10536566 (Case # 10601194) - Update for LAMOUNI.pdf","false","true","","","","","","","",""
"E-mail confirmation sent by Alpha.pdf","false","true","","","","","","","",""
"E-mail from Alison.pdf","false","true","","","","","","","",""
"e1acc2cd-ba6a-4a63-8230-37366add71b1_eb96ae20cd844243b17a7d4ffb8e6c57_LLPC_Badge.png","false","false","","","","","","","",""
"EADV_00042657_certificate.pdf","false","true","","","","","","","",""
"educacao_fiscal_e_cidadania_turma_jun2026_certificado.pdf","false","true","","25","","","","","",""
"EGS003_Pedro Lamounier Sampaio_Participant_WPP__20260704-204242.pdf","false","true","","","","","","","",""
"Elevify_ ISO 9001 Requirements Support and Operations_Cert.pdf","true","true","","15","","","","https://www.elevify.com","",""
"Elevify_ Performance Evaluation and Internal Auditing_Cert_.pdf","true","true","","15","","","","https://www.elevify.com","",""
"Elevify_7QMP_Certificate.pdf","true","true","","15","","","","https://www.elevify.com","",""
"Elevify_Integrating ISO 9001_Certificate.pdf","true","true","","28","","","","https://www.elevify.com","",""
"Elevify_ISO 9000 Training_Certificate.pdf","true","true","","131","","","","https://www.elevify.com","",""
"Elevify_ISO 9001 Certification_Certificate.pdf","true","true","","28","","","","https://www.elevify.com","",""
"Elevify_ISO 9001_Non-Conformity.pdf","true","true","","28","","","","https://www.elevify.com","",""
"Elevify_ISO 9001_Process Approach_Certificate.pdf","true","true","","28","","","","https://www.elevify.com","",""
"Elevify_ISO9001_Foundations_Certificate.pdf","true","true","","15","","","","https://www.elevify.com","",""
"Ementa Curso Auditoria SES.pdf","false","true","","","","","","","",""
"Ementa Curso POP-T-SVS-012.pdf","false","true","","","","","","","",""
"Ementa Inspeção SVSS.pdf","false","true","","","","","","","",""
"ENAP_Certificado_formacao_de_facilitadores_de_aprendizagem_turma_jun2026_certificado.pdf","false","true","","40","","","","","",""
"EPICourses_OSHAin Healthcare and BPT_Certificate.pdf","false","true","","","","","","","",""
"Epidemiology Essentials - JHU.pdf","true","true","","","","","","https://coursera.org/verify/0E8IVMB616A0","",""
"fd91e062-545f-0a1b-40b2-14937c01b355_file.pdf","false","true","","","","","","","",""
"FDCE-UFMG_Certificado_Extensão_Tributação Previdenciária_2020.10.pdf","false","true","","","","","","","",""
"FIOCRUZ-MS_Aperfeiçoamento_Gerência_Serviços_APS_Certificado_146971.pdf","true","true","Aperfeiçoamento em Gerência de Serviços de Atenção Primária à Saúde","180","","","","","",""
"FIOCRUZ-MS_Ouvidorias_do_SUS_Conceito,_organização_e_funcionamento_Certificado_147082.pdf","true","true","","45","","","","","",""
"FIOCRUZ-MS_SUS_Participação_Social_OUVSUS_Certificado_147087.pdf","true","true","","45","","","","","",""
"form-q-svs-005-v-00-programa-de-auditoria-interna.pdf","false","true","","","","","","","",""
"form-q-svs-006-v-00-relatorio-de-auditoria-interna.pdf","false","true","","","","","","","",""
"GHLC_HC WF Productivity and Quality_Certificate.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"GHTC_Infrastructure and Good Governance_Certificate.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"GIACC_ Common types of corruption in project construction Certificate.pdf","false","true","","","","","","","",""
"GIACC_Benefits and Requirements of ISO 37301_Certificate.pdf","false","true","","","","","","","",""
"GIACC_Construction and Procurement Contracts_Certificate.pdf","false","true","","","","","","","",""
"GIACC_Construction Corruption Prevention Certificate.pdf","false","true","","","","","","","",""
"GIACC_Corruption in Procurement Certificate.pdf","false","true","","","","","","","",""
"GIACC_Corruption Investigation in Procurement_Certificate.pdf","false","true","","","","","","","",""
"GIACC_Mod11_Corruption Dilemmas_Certificate.pdf","false","true","","","","","","","",""
"GIACC_Module 3_Certificate.pdf","false","true","","","","","","","",""
"GICR-1 Certificate of Completion - WHO Academy.pdf","false","true","","","","","","","",""
"GICR-O Certificate of Completion - WHO Academy.pdf","false","true","","","","","","","",""
"Global Health Governance Certificate.pdf","false","false","","","","","","","","arquivo grande; extração limitada para segurança"
"Global Infrastructure Anti-Corruption Centre Module 2 Certificate.pdf","false","true","","","","","","","",""
"Global Infrastructure Anti-Corruption Centre.pdf","false","true","","","","","","","",""
"Glossary_Modern_Project_Management_Microsoft365.zip","false","false","","","","","","","",""
"HBS-Coursera_Effective Leadership_UQNUF9TGZVM9.pdf","false","true","Becoming an Effective Leader","","2","","","","https://www.coursera.org/account/accomplishments/verify/UQNUF9TGZVM9",""
"HBS-Coursera_Intro to Leadership Specialization Certificate_53FFGZD92GQU.pdf","false","true","Introduction to Leadership Principles","","40","40","1 meses com 10 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/53FFGZD92GQU",""
"HIPAA_Training_Certificate.pdf","false","true","","","","","","","",""
"Histórico Acadêmico UFMG - Pedro Lamounier Sampaio.xlsx","true","false","","","","","","","",""
"Histórico Escolar - PUC Minas Direito.pdf","true","true","","","","","","https://diploma.pucminas.br/validar/","",""
"Histórico Escolar_MPGOS - PEDRO LAMOUNIER SAMPAIO.jpeg","true","false","","","","","","","",""
"HomeTown Health Certificate.pdf","false","true","","","","","","","",""
"HomeTown Health_Care Coordination and Continuity.pdf","false","true","","","","","","","",""
"HSC_Curso sobre avaliação biológica ISO 10993_certificado-3533631.pdf","false","false","","","","","","","",""
"HSC_Curso sobre Avaliação Clínica ISO 10993_certificado-3533419.pdf","false","false","","","","","","","",""
"HSC_Curso sobre MDSAP AU_certificado-3533417.pdf","false","false","","","","","","","",""
"HSC_ISO 10994 Gestão de Risco_certificado-3536529.pdf","false","false","","","","","","","",""
"HSC_Registro no FDA_certificado-3533688.pdf","false","false","","","","","","","",""
"HTH_Systems Thinking and Design Certificate.pdf","false","true","","","","","","","",""
"IBSEC_ISO 27001 Essentials_Certificate.pdf","false","false","","","","","","","",""
"IBSEC_ISO 27001 Fundamentos_ProfCertificate.pdf","false","false","","","","","","","",""
"IBSEC_Perícia Digital, Investigação e Custódia Segurança Digital_Essentials_ProfCertificate.pdf","false","false","","","","","","","",""
"ICL-Coursera_Digital Health_Specialization Certificate CO5VFFKM5MQ6.pdf","false","true","Digital Health","","80","80","2 meses com 10 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/CO5VFFKM5MQ6",""
"IIBA_6S Green Belt Certificate.pdf","false","true","","","","","","","",""
"IllinoisMed-Coursera_Health Ecosystem 3O4Q2WIWVNSX.pdf","false","true","Understanding the Healthcare Ecosystem","","15","","","","https://www.coursera.org/account/accomplishments/verify/3O4Q2WIWVNSX",""
"Injetáveis Curso_certificate_1779855229036 (1).pdf","false","false","","","","","","","",""
"Injetáveis Curso_certificate_1779855229036.pdf","false","false","","","","","","","",""
"International Institute of Business Analysis (IIBA®).pdf","false","true","","","","","","","",""
"Intro to OSHAcademy_Certificate.pdf","true","true","","","","","","","",""
"IPE-Creighton - Certicate-ish.docx","false","false","","","","","","","",""
"IPE_Signed What you Need to Know_Certificate.pdf","false","true","","1","","","","","",""
"ISO 9001 and 27001 Essentials Certificate_Great Learning.pdf","false","true","","","","","","https://www.mygreatlearning.com/certificate/PSXVKTXD","",""
"ISO 9001 Requirements_Context to Planning_Certificate Elevify.pdf","true","true","","15","","","","https://www.elevify.com","",""
"ISO9001_Badge_SkillFront96337181584206.png","false","false","","","","","","","",""
"IU_Primary Plagiarism Certificate.pdf","false","false","","","","","","","",""
"IU_Primary Plagiarism Certificate_signed.pdf","false","false","","","","","","","",""
"JHU-Coursera_Analysis of Programs_Certificate 3Z8RM8B5P6LS.pdf","false","true","Analysis and Interpretation of Large-Scale Programs","","21","","","","https://www.coursera.org/account/accomplishments/verify/3Z8RM8B5P6LS",""
"JHU-Coursera_Biostatistics in PH_4XIVGLM9A4VF.pdf","false","true","Biostatistics in Public Health","","80","","2 meses com 10 por semana para concluir","","https://www.coursera.org/account/accomplishments/verify/4XIVGLM9A4VF",""
"JHU-Coursera_Evaluating Health Programs_Specializatin Certificate_9LMUYO3P4H4E.pdf","false","true","Evaluating Large-Scale Health Programs","4","72","72","6 meses com 3 por semana para concluir","","https://www.coursera.org/account/accomplishments/specialization/9LMUYO3P4H4E",""
"JHU-Coursera_Health Program Delivery_Certificate 47FKHSCQYH5D.pdf","false","true","Assessing Health Program Delivery","","19","","","","https://www.coursera.org/account/accomplishments/verify/47FKHSCQYH5D",""
"JHU-Coursera_PH Programs Evaluation_Certificate URX3MO9G7TX7.pdf","false","true","Evaluating Public Health Programs at Scale","","18","","","","https://www.coursera.org/account/accomplishments/verify/URX3MO9G7TX7",""
"JHU-Coursera_Program Design and Evaluation_Certificate_N5X42IZWTN22.pdf","false","true","Program Design & Evaluation for Health Systems Strengthening","","7","","","","https://www.coursera.org/account/accomplishments/verify/N5X42IZWTN22",""
"LEIA-ME.md","false","true","","6","","","","","",""
"LinkedIn Certificate - Six Sigma Black Belt.pdf","false","true","","2","","","","","",""
"LinkedIn Learning Certificate_Project Management Foundations.pdf","false","true","","4","","","","","",""
"LinkedIn Learning_Building Blocks in AI Certificate.pdf","false","true","","","","","","","",""
"LinkedIn_AI para Profissionais da Justiça_Certificado.pdf","false","true","","","","","","","",""
"LinkedIn_AI Products Introduction_Certificate.pdf","false","true","","","","","","","",""
"LinkedIn_Top Performers Reinvention_Completion Certificate.pdf","false","true","","","","","","","",""
"LOC Certificate for 'Breaking Dengue’s Grip- Epidemiology, Immune Responses, and.pdf","false","true","","1.25","","","","","",""
"LOC Certificate for 'Breaking the Routine- Modernizing Mealtime Insulin Manageme.pdf","false","true","","","","","","","",""
"Matrícula Unifenas 2026.2.pdf","true","true","","","","","","","",""
"MedScape_Updates on infections_LOC Certificate.pdf","false","false","","","","","","","",""
"MichiganU-Coursera_Intro to Translational Science_Certificate_AI712ZU1D9CZ.pdf","false","true","Introduction to Translational Science","","12","","","","https://www.coursera.org/account/accomplishments/verify/AI712ZU1D9CZ",""
"Microsoft_LinkedIn_PME_ProCert.pdf","false","true","","13","","","","","",""
"My Support Cases.pdf","false","true","","","","","","https://www.coursera.org/my-purchases/transactions?utm_medium=email&utm_source=other&utm_campaign=…","",""
